Year,Month,ParentSKU,Net Sales calculated
2017,9,F0194,1366203
2017,9,F0196,774296
2017,9,F0199,735368
2017,9,F0201,590468
2017,9,F0202,941091
2017,9,F0204,824377
2017,9,F0206,748944
2017,9,F0207,861532
2017,9,F0210,729265
2017,9,F0212,1096520
2017,9,F0214,1162479
2017,9,F0215,544003
2017,9,F0216,417197
2017,9,F0217,1131763
2017,9,F0218,735386
2017,9,F0232,762612
2017,9,F0233,862774
2017,9,F0306,1843881
2017,9,F0307,1575496
2017,9,F0311,1374170
2017,9,F0319,821349
2017,9,F0320,732955
2017,9,F0321,1094816
2017,9,F0328,682659
2017,9,F0365,1018279
2017,9,F0367,1365816
2017,9,F0369,1056425
2017,9,F0371,1052503
2017,9,F0387,1489561
2017,10,F0033,1436348
2017,10,F0034,2352164
2017,10,F0089,4918868
2017,10,F0091,2492915
2017,10,F0094,3030214
2017,10,F0098,2704370
2017,10,F0099,4386334
2017,10,F0101,1702701
2017,10,F0112,612324
2017,10,F0113,341005
2017,10,F0140,1190715
2017,10,F0147,627350
2017,10,F0167,661341
2017,10,F0168,326352
2017,10,F0193,1893114
2017,10,F0194,1185526
2017,10,F0196,690589
2017,10,F0199,604637
2017,10,F0201,778032
2017,10,F0202,905484
2017,10,F0204,663518
2017,10,F0206,627431
2017,10,F0207,358973
2017,10,F0210,568192
2017,10,F0212,1220059
2017,10,F0214,1049760
2017,10,F0215,729653
2017,10,F0216,624819
2017,10,F0217,1044728
2017,10,F0218,1083550
2017,10,F0232,781379
2017,10,F0233,674105
2017,10,F0306,1745298
2017,10,F0307,1221720
2017,10,F0311,1257905
2017,10,F0319,416828
2017,10,F0320,654769
2017,10,F0321,588650
2017,10,F0328,800313
2017,10,F0365,1237286
2017,10,F0367,1291436
2017,10,F0369,1395128
2017,10,F0371,1275739
2017,10,F0387,2030771
2017,11,F0033,3026236
2017,11,F0034,3987427
2017,11,F0089,6073246
2017,11,F0091,2207624
2017,11,F0094,3111079
2017,11,F0098,3122100
2017,11,F0099,3849977
2017,11,F0101,1860723
2017,11,F0112,161496
2017,11,F0113,635257
2017,11,F0140,689163
2017,11,F0147,876391
2017,11,F0167,1049203
2017,11,F0168,203829
2017,11,F0193,2330489
2017,11,F0194,1358181
2017,11,F0196,761455
2017,11,F0199,544103
2017,11,F0201,781792
2017,11,F0202,1114059
2017,11,F0204,975954
2017,11,F0206,505240
2017,11,F0207,680034
2017,11,F0210,580263
2017,11,F0212,1541826
2017,11,F0214,1531765
2017,11,F0215,1024701
2017,11,F0216,874059
2017,11,F0217,1038306
2017,11,F0218,960485
2017,11,F0232,825936
2017,11,F0233,842752
2017,11,F0306,1872635
2017,11,F0307,1479330
2017,11,F0311,2527685
2017,11,F0319,2180152
2017,11,F0320,1632449
2017,11,F0321,2399543
2017,11,F0328,768169
2017,11,F0365,472858
2017,11,F0367,663933
2017,11,F0369,811302
2017,11,F0371,690821
2017,11,F0387,1741167
2017,12,F0033,4129146
2017,12,F0034,4069945
2017,12,F0089,3665656
2017,12,F0091,1799203
2017,12,F0094,2492754
2017,12,F0098,3444276
2017,12,F0099,5064135
2017,12,F0101,1717086
2017,12,F0112,770972
2017,12,F0113,85863
